,year,number_of_movies_per_year
0,1945,1
1,1946,0
2,1947,0
3,1948,0
4,1949,0
5,1950,0
6,1951,0
7,1952,0
8,1953,1
9,1954,2
10,1955,0
11,1956,1
12,1957,0
13,1958,1
14,1959,1
15,1960,1
16,1961,1
17,1962,1
18,1963,1
19,1964,1
20,1965,0
21,1966,2
22,1967,1
23,1968,1
24,1969,2
25,1970,0
26,1971,2
27,1972,2
28,1973,3
29,1974,1
30,1975,2
31,1976,4
32,1977,1
33,1978,1
34,1979,7
35,1980,5
36,1981,4
37,1982,8
38,1983,3
39,1984,5
40,1985,2
41,1986,6
42,1987,6
43,1988,7
44,1989,10
45,1990,7
46,1991,14
47,1992,4
48,1993,21
49,1994,13
50,1995,12
51,1996,8
52,1997,15
53,1998,26
54,1999,13
55,2000,13
56,2001,24
57,2002,21
58,2003,33
59,2004,35
60,2005,37
61,2006,52
62,2007,53
63,2008,66
64,2009,63
65,2010,73
66,2011,105
67,2012,110
68,2013,142
69,2014,160
70,2015,236
71,2016,371
72,2017,580
73,2018,774
74,2019,848
75,2020,805
76,2021,758
77,2022,217
