,language,No of people uses,popularity in percentage
0,JavaScript,53587,12.078883424022072
1,HTML/CSS,46259,10.427101131092186
2,Python,39792,8.969394241302671
3,SQL,38835,8.75367976882261
4,Java,29162,6.573318125876269
5,Node.js,27975,6.30576004976986
6,TypeScript,24909,5.61466227273342
7,C#,22984,5.180753851078122
8,Bash/Shell,22385,5.04573507467733
9,C++,20057,4.5209876431897795
10,PHP,18130,4.086628407589903
11,C,17329,3.906077422786842
12,PowerShell,8871,1.999585251170989
13,Go,7879,1.7759815346608303
14,Kotlin,6866,1.5476442717326133
15,Rust,5799,1.3071350323008193
16,Ruby,5569,1.2552914286744719
17,Dart,4965,1.1191456174122378
18,Assembly,4632,1.0440850956401784
19,Swift,4204,0.9476109115007146
20,R,4185,0.9433281790272338
21,VBA,3847,0.8671406223937319
22,Matlab,3846,0.8669152154214435
23,Groovy,2479,0.5587838843031092
24,Objective-C,2310,0.5206901059863583
25,Scala,2148,0.4841741764756267
26,Perl,2028,0.4571253398010107
27,Haskell,1749,0.39423679453252847
28,Delphi,1731,0.3901794690313361
29,Clojure,1552,0.3498316209917005
30,Elixir,1438,0.3241352261508153
31,LISP,1096,0.24704604162815963
32,N/A,1082,0.24389034401612109
33,Julia,1068,0.24073464640408257
34,F#,804,0.18122720571992734
35,Erlang,651,0.1467399389597919
36,APL,536,0.12081813714661822
37,Crystal,466,0.10503964908642553
38,COBOL,437,0.09850284689006
